id,category,sub_category,brand,model,power,price,compatibility,ESD,link,image
32,tools,handles,Geeboon,T12,,$15-35,1.2,OK,https://s.click.aliexpress.com/e/_c3xiJVnV,https://ae01.alicdn.com/kf/S6f639b29e07b4003b1d18956f470c2a2R.jpg
33,tools,handles,Geeboon,T210,,$18-40,1.4,OK,https://s.click.aliexpress.com/e/_c3xiJVnV,https://ae01.alicdn.com/kf/Sb6de07f8c92a476ea6e905c91a0f30ad2.jpg
34,tools,station,SUGON,A9,200W,$70-130,4,OK,https://s.click.aliexpress.com/e/_c2zOYJHh,https://ae-pic-a1.aliexpress-media.com/kf/S7d4fba764a2f443cbe9e825a9479d109p.jpg
35,tools,handles,SUGON,T245,,$18-40,1.1,OK,https://s.click.aliexpress.com/e/_c4PPTVKF,https://ae-pic-a1.aliexpress-media.com/kf/Sa45a0a4472774b42835687b8a0e306d9I.jpg
36,tools,handles,SUGON,T115,,$15-35,1.5,OK,https://s.click.aliexpress.com/e/_c4PPTVKF,https://ae-pic-a1.aliexpress-media.com/kf/Sde3c86b94b9444299fd4104ff08705c7F.jpg
37,tools,handles,SUGON,T12,,$15-35,1.2,OK,https://s.click.aliexpress.com/e/_c4PPTVKF,https://ae-pic-a1.aliexpress-media.com/kf/Sed82cadb210549f2b891afe7da6c4b10z.jpg
38,tools,handles,SUGON,T210,,$18-40,1.4,OK,https://s.click.aliexpress.com/e/_c4PPTVKF,https://ae-pic-a1.aliexpress-media.com/kf/Secd054833da6459fa99ad4565d3b4338M.jpg
39,tools,station,AIFEN,A9PRO,120W,$50-90,4,carefull,https://s.click.aliexpress.com/e/_c43mqCh5,https://ae-pic-a1.aliexpress-media.com/kf/S200f8c67016c4faf92030fa767ef9d49W.jpg
40,tools,station,SUGON,T61,400W,$120-200,6,OK,https://s.click.aliexpress.com/e/_c33xFm15,https://ae-pic-a1.aliexpress-media.com/kf/S7b00b844dd114d4a9d43d4de9bf653758.jpg
41,tools,station,SUGON,T3602,240W,$70-130,7,OK,https://s.click.aliexpress.com/e/_c4pOjp3z,https://ae-pic-a1.aliexpress-media.com/kf/S75031d42788a4824984a91353be30c55N.jpg
