id,brand,model,sub_category,status,http_code,detail,link
36,SUGON,T115,handles,ok,200,https://www.aliexpress.com/item/1005003717752698.html?aff_fcid=63271011feaa427b84892dc8d28d4a74-1786926669454-02534-_c4PPTVKF&tt=CPS_NORMAL&aff_fsk=_c4PPTVKF&aff_platform=shareComponent-detail&sk=_c4PPTVKF&aff_trace_key=63271011feaa427b84892dc8d28d4a74-1786926669454-02534-_c4PPTVKF&terminal_id=215a07194a23476a968fa44bbd5ae058&afSmartRedirect=y,https://s.click.aliexpress.com/e/_c4PPTVKF
37,SUGON,T12,handles,ok,200,https://www.aliexpress.com/item/1005003717752698.html?aff_fcid=0f73835a44b2402bb927ec2198584e2f-1786926669476-07909-_c4PPTVKF&tt=CPS_NORMAL&aff_fsk=_c4PPTVKF&aff_platform=shareComponent-detail&sk=_c4PPTVKF&aff_trace_key=0f73835a44b2402bb927ec2198584e2f-1786926669476-07909-_c4PPTVKF&terminal_id=4b9c7477a53f4739908d891f826c2d32&afSmartRedirect=y,https://s.click.aliexpress.com/e/_c4PPTVKF
38,SUGON,T210,handles,ok,200,https://www.aliexpress.com/item/1005003717752698.html?aff_fcid=c7f3666b70724d8fa289706459a4c03f-1786926669493-00814-_c4PPTVKF&tt=CPS_NORMAL&aff_fsk=_c4PPTVKF&aff_platform=shareComponent-detail&sk=_c4PPTVKF&aff_trace_key=c7f3666b70724d8fa289706459a4c03f-1786926669493-00814-_c4PPTVKF&terminal_id=07ad2c3443cd48cebab6262e6762f980&afSmartRedirect=y,https://s.click.aliexpress.com/e/_c4PPTVKF
39,AIFEN,A9PRO,station,ok,200,https://www.aliexpress.com/item/1005004063990662.html?aff_fcid=509b7bab2a76419cbf5bb564748824aa-1786926669498-05749-_c43mqCh5&tt=CPS_NORMAL&aff_fsk=_c43mqCh5&aff_platform=shareComponent-detail&sk=_c43mqCh5&aff_trace_key=509b7bab2a76419cbf5bb564748824aa-1786926669498-05749-_c43mqCh5&terminal_id=039c894c6e304a7aa4f8d918cd37704f&afSmartRedirect=y,https://s.click.aliexpress.com/e/_c43mqCh5
40,SUGON,T61,station,ok,200,https://www.aliexpress.com/item/1005007467271092.html?aff_fcid=5ac81e25683245cab8011b1db3bce7a8-1786926669532-02138-_c33xFm15&tt=CPS_NORMAL&aff_fsk=_c33xFm15&aff_platform=shareComponent-detail&sk=_c33xFm15&aff_trace_key=5ac81e25683245cab8011b1db3bce7a8-1786926669532-02138-_c33xFm15&terminal_id=10038f39cb744df88400849266c147d8&afSmartRedirect=y,https://s.click.aliexpress.com/e/_c33xFm15
41,SUGON,T3602,station,ok,200,https://www.aliexpress.com/item/1005005843961339.html?aff_fcid=c3e24f49dd684067aaeaddc8c1120ed3-1786926669654-08838-_c4pOjp3z&tt=CPS_NORMAL&aff_fsk=_c4pOjp3z&aff_platform=shareComponent-detail&sk=_c4pOjp3z&aff_trace_key=c3e24f49dd684067aaeaddc8c1120ed3-1786926669654-08838-_c4pOjp3z&terminal_id=c1e8889951b1471ea89fb76a7658ee30&afSmartRedirect=y,https://s.click.aliexpress.com/e/_c4pOjp3z
42,SUGON,T21,station,ok,200,https://pt.aliexpress.com/item/1005009356857424.html?aff_fcid=46caba07e47243158412a872bba10005-1786926669694-00493-_c4FgRB75&tt=CPS_NORMAL&aff_fsk=_c4FgRB75&aff_platform=shareComponent-detail&sk=_c4FgRB75&aff_trace_key=46caba07e47243158412a872bba10005-1786926669694-00493-_c4FgRB75&terminal_id=eaf5b7f7dc904311bb1b12112dd5ba5e&afSmartRedirect=y&gatewayAdapt=glo2bra,https://s.click.aliexpress.com/e/_c4FgRB75
43,AIXUN,T3A,station,ok,200,https://www.aliexpress.com/item/1005007009987518.html?aff_fcid=39a5447e5a39457da63080c69e5702f5-1786926669712-02844-_c3wNHYPv&tt=CPS_NORMAL&aff_fsk=_c3wNHYPv&aff_platform=shareComponent-detail&sk=_c3wNHYPv&aff_trace_key=39a5447e5a39457da63080c69e5702f5-1786926669712-02844-_c3wNHYPv&terminal_id=a64b97039d0d4a29a36980d3d4c1b9c6&afSmartRedirect=y,https://s.click.aliexpress.com/e/_c3wNHYPv
44,AIXUN,T3B,station,ok,200,https://www.aliexpress.com/item/1005007009987518.html?aff_fcid=001e92920977424da83b437d5a728828-1786926669718-07057-_c3wNHYPv&tt=CPS_NORMAL&aff_fsk=_c3wNHYPv&aff_platform=shareComponent-detail&sk=_c3wNHYPv&aff_trace_key=001e92920977424da83b437d5a728828-1786926669718-07057-_c3wNHYPv&terminal_id=a02404fae7be4ccbbc861059afebbbe7&afSmartRedirect=y,https://s.click.aliexpress.com/e/_c3wNHYPv
45,AIXUN,T3A,handles,ok,200,https://www.aliexpress.com/item/1005003792432449.html?aff_fcid=7f4db9f7b09149efadc81c5d8944b156-1786926669728-07704-_c2wc3b5Z&tt=CPS_NORMAL&aff_fsk=_c2wc3b5Z&aff_platform=shareComponent-detail&sk=_c2wc3b5Z&aff_trace_key=7f4db9f7b09149efadc81c5d8944b156-1786926669728-07704-_c2wc3b5Z&terminal_id=dcc23cc916ef4497ab4170cdedc23acc&afSmartRedirect=y,https://s.click.aliexpress.com/e/_c2wc3b5Z
46,AIXUN,T3B,handles,ok,200,https://www.aliexpress.com/item/1005003792432449.html?aff_fcid=6f88a80c1246437d82069fabf61d8bc3-1786926669752-08937-_c2wc3b5Z&tt=CPS_NORMAL&aff_fsk=_c2wc3b5Z&aff_platform=shareComponent-detail&sk=_c2wc3b5Z&aff_trace_key=6f88a80c1246437d82069fabf61d8bc3-1786926669752-08937-_c2wc3b5Z&terminal_id=b0698d81019b4c4bbd695cc3b7339acc&afSmartRedirect=y,https://s.click.aliexpress.com/e/_c2wc3b5Z
47,AIXUN,T3B,handles,ok,200,https://www.aliexpress.com/item/1005003792432449.html?aff_fcid=fe2eed0920d84f1d8ac710acc8bfbfb5-1786926669751-04355-_c2wc3b5Z&tt=CPS_NORMAL&aff_fsk=_c2wc3b5Z&aff_platform=shareComponent-detail&sk=_c2wc3b5Z&aff_trace_key=fe2eed0920d84f1d8ac710acc8bfbfb5-1786926669751-04355-_c2wc3b5Z&terminal_id=8624448fc5c54879a8546be0e18782c6&afSmartRedirect=y,https://s.click.aliexpress.com/e/_c2wc3b5Z
48,AIXUN,T420D,station,ok,200,https://pt.aliexpress.com/item/1005012277021665.html?aff_fcid=a0a8b60817b547cc8cb779cbe7e3a3fc-1786926669766-07155-_c3UynA4L&tt=CPS_NORMAL&aff_fsk=_c3UynA4L&aff_platform=shareComponent-detail&sk=_c3UynA4L&aff_trace_key=a0a8b60817b547cc8cb779cbe7e3a3fc-1786926669766-07155-_c3UynA4L&terminal_id=7e94917b1f5a4c518f372039783a9220&afSmartRedirect=y&gatewayAdapt=glo2bra,https://s.click.aliexpress.com/e/_c3UynA4L
49,OSS,T12,station,ok,200,https://www.aliexpress.com/item/1005006302714684.html?aff_fcid=2d814b71bc0c404bb1346cfed5aafba3-1786926669805-00788-_c323AagF&tt=CPS_NORMAL&aff_fsk=_c323AagF&aff_platform=shareComponent-detail&sk=_c323AagF&aff_trace_key=2d814b71bc0c404bb1346cfed5aafba3-1786926669805-00788-_c323AagF&terminal_id=fa91ef25dc7a413995f8bf1faa56c081&afSmartRedirect=y,https://s.click.aliexpress.com/e/_c323AagF
50,OSS,T245,station,ok,200,https://www.aliexpress.com/item/1005006181953598.html?aff_fcid=945c924ec8fd4c35b674478b2e6c5713-1786926669909-06572-_c4CGqHBN&tt=CPS_NORMAL&aff_fsk=_c4CGqHBN&aff_platform=shareComponent-detail&sk=_c4CGqHBN&aff_trace_key=945c924ec8fd4c35b674478b2e6c5713-1786926669909-06572-_c4CGqHBN&terminal_id=36918dea5503420ea9c7282af955b253&afSmartRedirect=y,https://s.click.aliexpress.com/e/_c4CGqHBN
51,OSS,T210,station,ok,200,https://www.aliexpress.com/item/1005006300296031.html?aff_fcid=174b69092c2d45899cfc632fe06be035-1786926669928-02317-_c3QHBoRt&tt=CPS_NORMAL&aff_fsk=_c3QHBoRt&aff_platform=shareComponent-detail&sk=_c3QHBoRt&aff_trace_key=174b69092c2d45899cfc632fe06be035-1786926669928-02317-_c3QHBoRt&terminal_id=6108271f984647529765bdf4c40771d3&afSmartRedirect=y,https://s.click.aliexpress.com/e/_c3QHBoRt
52,OSS,T115,station,ok,200,https://www.aliexpress.com/item/1005006300296031.html?aff_fcid=2643a327e5564930a280118df8de76fb-1786926669965-05556-_c3QHBoRt&tt=CPS_NORMAL&aff_fsk=_c3QHBoRt&aff_platform=shareComponent-detail&sk=_c3QHBoRt&aff_trace_key=2643a327e5564930a280118df8de76fb-1786926669965-05556-_c3QHBoRt&terminal_id=1d3ed6c5bd9841e4aad931393fc85a23&afSmartRedirect=y,https://s.click.aliexpress.com/e/_c3QHBoRt
