id,brand,model,sub_category,link,image
180,ZOYI,ZT-XR1,battery_tester,https://s.click.aliexpress.com/e/_c4e9gShh,images/products/180.jpg
181,DOCREATE,SK-10P,spotwelder,https://s.click.aliexpress.com/e/_c3xWJsh1,images/products/181.jpg
182,Awithz,UK3,spotwelder,https://s.click.aliexpress.com/e/_c3fIjvSP,images/products/182.jpg
183,DOCREATE,705,spotwelder,https://s.click.aliexpress.com/e/_c3MydXbt,images/products/183.jpg
184,,Nickel Strip,stripes,https://s.click.aliexpress.com/e/_c4WRXYcJ,images/products/184.jpg
185,,Pure Copper Strip,stripes,https://s.click.aliexpress.com/e/_c3VA1Xbv,images/products/185.jpg
186,,Nickel Plated Copper Strip,stripes,https://s.click.aliexpress.com/e/_c3VA1Xbv,images/products/186.jpg
187,,Nickel Plated Steel Strip,stripes,https://s.click.aliexpress.com/e/_c318IxXv,images/products/187.jpg
188,Wanptek,30V 10A,psu,https://s.click.aliexpress.com/e/_c4c9wumT,images/products/188.jpg
189,Wanptek,60V 5A,psu,https://s.click.aliexpress.com/e/_c4e7dSQ3,images/products/189.jpg
190,Wanptek,120V 3A,psu,https://s.click.aliexpress.com/e/_c4e7dSQ3,images/products/190.jpg
191,KUAIQU,15V 30A,psu,https://s.click.aliexpress.com/e/_c3p568pv,images/products/191.jpg
192,KUAIQU,30V 20A,psu,https://s.click.aliexpress.com/e/_c3p568pv,images/products/192.jpg
193,KUAIQU,60V 20A,psu,https://s.click.aliexpress.com/e/_c3p568pv,images/products/193.jpg
194,SUGON,30V 10A,psu,https://s.click.aliexpress.com/e/_c4SqQSfl,images/products/194.jpg
195,SUGON,30V 5A,psu,https://s.click.aliexpress.com/e/_c3yTvbHN,images/products/195.jpg
196,BSIDE,I8-4020,psu,https://s.click.aliexpress.com/e/_c3rycX71,images/products/196.jpg
197,MKEPA,INR21700-P45B 4500mAh,battery,https://s.click.aliexpress.com/e/_c3UG1eOj,images/products/197.jpg
198,,INR21700-P45B 4000mAh,battery,https://s.click.aliexpress.com/e/_c3OYxlsF,images/products/198.jpg
199,,18650-35E 3500mAh,battery,https://s.click.aliexpress.com/e/_c42dLICJ,images/products/199.jpg
200,,18650-35Q 3000mAh,battery,https://s.click.aliexpress.com/e/_c2zYO4Qj,images/products/200.jpg
201,,18650-10C 2000mAh,battery,https://s.click.aliexpress.com/e/_c3NhjKRH,images/products/201.png
202,,18650-35V 3500mAh,battery,https://s.click.aliexpress.com/e/_c3irFStZ,images/products/202.png
203,,DMG Housing Shell Kit + Buttons,GameBoy,https://s.click.aliexpress.com/e/_c3mD2JGb,images/products/203.jpg
204,,DMG Battery Module 2500mAh,GameBoy,https://s.click.aliexpress.com/e/_c3iIF7D5,images/products/204.jpg
205,,GBP LCD Screen,GameBoy,https://s.click.aliexpress.com/e/_c3UioEkX,images/products/205.jpg
206,,GBC IPS Screen Kit,GameBoy,https://s.click.aliexpress.com/e/_c3nM8zef,images/products/206.jpg
207,,DMG / GB IPS Screen Kit,GameBoy,https://s.click.aliexpress.com/e/_c3NTEFMT,images/products/207.jpg
208,,GBP Housing Shell + Buttons + IPS,GameBoy,https://s.click.aliexpress.com/e/_c3J2RYgn,images/products/208.jpg
209,,GBA Battery Module 1800mAh,GameBoy,https://s.click.aliexpress.com/e/_c3vIwzar,images/products/209.jpg
210,,GBA SP IPS Screen Kit,GameBoy,https://s.click.aliexpress.com/e/_c3RddMNv,images/products/210.jpg
211,,GBA Battery Module 1800mAh,GameBoy,https://s.click.aliexpress.com/e/_c2vtnyqx,images/products/211.jpg
212,,GBC Battery Module 1800mAh,GameBoy,https://s.click.aliexpress.com/e/_c2vtnyqx,images/products/212.jpg
213,,GBP Battery Module 1800mAh,GameBoy,https://s.click.aliexpress.com/e/_c2vtnyqx,images/products/213.jpg
